FIPS,county_name,gdp_per_capita
13245,"Richmond, GA",43773
13247,"Rockdale, GA",41775
13249,"Schley, GA",43967
13251,"Screven, GA",41275
13253,"Seminole, GA",44605
13255,"Spalding, GA",42933
13257,"Stephens, GA",46030
13259,"Stewart, GA",36311
13261,"Sumter, GA",43694
13263,"Talbot, GA",46154
13265,"Taliaferro, GA",43863
13267,"Tattnall, GA",36813
13269,"Taylor, GA",38424
13271,"Telfair, GA",28771
13273,"Terrell, GA",46940
13275,"Thomas, GA",54447
13277,"Tift, GA",45958
13279,"Toombs, GA",42570
13281,"Towns, GA",48395
13283,"Treutlen, GA",39297
13285,"Troup, GA",45384
13287,"Turner, GA",38321
13289,"Twiggs, GA",43836
13291,"Union, GA",45629
13293,"Upson, GA",42204
13295,"Walker, GA",42914
13297,"Walton, GA",52663
13299,"Ware, GA",39161
13301,"Warren, GA",41120
13303,"Washington, GA",42072
13305,"Wayne, GA",38301
13307,"Webster, GA",39344
13309,"Wheeler, GA",23344
13311,"White, GA",48778
13313,"Whitfield, GA",46157
13315,"Wilcox, GA",33778
13317,"Wilkes, GA",52261
13319,"Wilkinson, GA",42232
13321,"Worth, GA",41684
16001,"Ada, ID",69187
16003,"Adams, ID",44290
16005,"Bannock, ID",47895
16007,"Bear Lake, ID",47914
16009,"Benewah, ID",43958
16011,"Bingham, ID",48122
16013,"Blaine, ID",174919
16015,"Boise, ID",52100
16017,"Bonner, ID",53298
16019,"Bonneville, ID",57394
16021,"Boundary, ID",45542
16023,"Butte, ID",53655
16025,"Camas, ID",64410
16027,"Canyon, ID",46187
16029,"Caribou, ID",49408
16031,"Cassia, ID",53927
16033,"Clark, ID",50251
16035,"Clearwater, ID",42698
16037,"Custer, ID",50545
16039,"Elmore, ID",44645
16041,"Franklin, ID",45398
16043,"Fremont (includes Yellowstone Park), ID",45667
16045,"Gem, ID",45478
16047,"Gooding, ID",72604
16049,"Idaho, ID",43783
16051,"Jefferson, ID",47582
16053,"Jerome, ID",47340
16055,"Kootenai, ID",59860
16057,"Latah, ID",51663
16059,"Lemhi, ID",53489
16061,"Lewis, ID",59204
16063,"Lincoln, ID",51707
16065,"Madison, ID",27779
16067,"Minidoka, ID",49931
16069,"Nez Perce, ID",53085
16071,"Oneida, ID",47492
16073,"Owyhee, ID",49122
16075,"Payette, ID",48419
16077,"Power, ID",50721
16079,"Shoshone, ID",44653
16081,"Teton, ID",64985
16083,"Twin Falls, ID",50199
16085,"Valley, ID",63321
16087,"Washington, ID",43680
17001,"Adams, IL",56962
17003,"Alexander, IL",49326
17005,"Bond, IL",45054
17007,"Boone, IL",55333
17009,"Brown, IL",46925
17011,"Bureau, IL",51702
17013,"Calhoun, IL",57249
17015,"Carroll, IL",51854
17017,"Cass, IL",50681
17019,"Champaign, IL",55063
17021,"Christian, IL",50287
17023,"Clark, IL",52495
17025,"Clay, IL",50201
17027,"Clinton, IL",59991
17029,"Coles, IL",52366
17031,"Cook, IL",72949
17033,"Crawford, IL",56899
17035,"Cumberland, IL",94219
17037,"DeKalb, IL",50823
17039,"De Witt, IL",59276
17041,"Douglas, IL",68340
17043,"DuPage, IL",89732
17045,"Edgar, IL",57163
17047,"Edwards, IL",50910
17049,"Effingham, IL",64015
17051,"Fayette, IL",45438
17053,"Ford, IL",69110
17055,"Franklin, IL",45836
17057,"Fulton, IL",48431
17059,"Gallatin, IL",55256
17061,"Greene, IL",53745
17063,"Grundy, IL",59222
17065,"Hamilton, IL",53278
17067,"Hancock, IL",57229
17069,"Hardin, IL",51645
17071,"Henderson, IL",58142
17073,"Henry, IL",56612
17075,"Iroquois, IL",57143
17077,"Jackson, IL",46558
17079,"Jasper, IL",56385
17081,"Jefferson, IL",47888
17083,"Jersey, IL",53237
17085,"Jo Daviess, IL",57354
17087,"Johnson, IL",39247
17089,"Kane, IL",64200
17091,"Kankakee, IL",50881
17093,"Kendall, IL",58095
17095,"Knox, IL",47652
17097,"Lake, IL",93358
17099,"LaSalle, IL",53684
17101,"Lawrence, IL",41615
17103,"Lee, IL",51953
17105,"Livingston, IL",58353
17107,"Logan, IL",48522
17109,"McDonough, IL",48836
17111,"McHenry, IL",65707
17113,"McLean, IL",60473
17115,"Macon, IL",57306
17117,"Macoupin, IL",51683
17119,"Madison, IL",56523
17121,"Marion, IL",50917
17123,"Marshall, IL",56543
17125,"Mason, IL",56186
17127,"Massac, IL",45986
17129,"Menard, IL",57457
17131,"Mercer, IL",59758
17133,"Monroe, IL",69659
17135,"Montgomery, IL",43433
17137,"Morgan, IL",49869
17139,"Moultrie, IL",82616
17141,"Ogle, IL",54973
17143,"Peoria, IL",58474
17145,"Perry, IL",45934
17147,"Piatt, IL",68019
17149,"Pike, IL",54926
17151,"Pope, IL",37853
17153,"Pulaski, IL",45358
17155,"Putnam, IL",66871
17157,"Randolph, IL",46618
17159,"Richland, IL",52381
17161,"Rock Island, IL",49671
17163,"St. Clair, IL",55856
17165,"Saline, IL",48435
17167,"Sangamon, IL",57326
17169,"Schuyler, IL",53056
17171,"Scott, IL",54816
17173,"Shelby, IL",52884
17175,"Stark, IL",62104
17177,"Stephenson, IL",52551
17179,"Tazewell, IL",57019
17181,"Union, IL",48416
17183,"Vermilion, IL",49528
17185,"Wabash, IL",52689
17187,"Warren, IL",56194
17189,"Washington, IL",60503
17191,"Wayne, IL",50431
17193,"White, IL",60434
17195,"Whiteside, IL",52664
17197,"Will, IL",64368
17199,"Williamson, IL",52882
17201,"Winnebago, IL",50898
17203,"Woodford, IL",63567
18001,"Adams, IN",49725
18003,"Allen, IN",58206
18005,"Bartholomew, IN",62368
18007,"Benton, IN",54863
18009,"Blackford, IN",45313
18011,"Boone, IN",92062
18013,"Brown, IN",58766
18015,"Carroll, IN",51143
18017,"Cass, IN",47189
18019,"Clark, IN",53672
18021,"Clay, IN",45397
18023,"Clinton, IN",46819
18025,"Crawford, IN",41770
18027,"Daviess, IN",58145
18029,"Dearborn, IN",58067
18031,"Decatur, IN",53286
18033,"DeKalb, IN",55214
18035,"Delaware, IN",45752
18037,"Dubois, IN",65393
18039,"Elkhart, IN",58363
18041,"Fayette, IN",47731
18043,"Floyd, IN",63479
18045,"Fountain, IN",51312
18047,"Franklin, IN",55337
18049,"Fulton, IN",49865
18051,"Gibson, IN",56746
18053,"Grant, IN",47619
18055,"Greene, IN",50986
18057,"Hamilton, IN",93725
18059,"Hancock, IN",62965
18061,"Harrison, IN",55001
18063,"Hendricks, IN",59120
18065,"Henry, IN",46947
18067,"Howard, IN",47672
18069,"Huntington, IN",50903
18071,"Jackson, IN",49739
18073,"Jasper, IN",58154
18075,"Jay, IN",55134
18077,"Jefferson, IN",52680
18079,"Jennings, IN",50202
18081,"Johnson, IN",59090
18083,"Knox, IN",54761
18085,"Kosciusko, IN",57999
18087,"Lagrange, IN",54382
18089,"Lake, IN",53446
18091,"LaPorte, IN",50715
18093,"Lawrence, IN",52224
18095,"Madison, IN",46714
18097,"Marion, IN",68100
18099,"Marshall, IN",53183
18101,"Martin, IN",53082
18103,"Miami, IN",40780
18105,"Monroe, IN",54062
18107,"Montgomery, IN",50145
18109,"Morgan, IN",54458
18111,"Newton, IN",52792
18113,"Noble, IN",50861
18115,"Ohio, IN",52055
18117,"Orange, IN",45742
18119,"Owen, IN",49833
18121,"Parke, IN",49797
18123,"Perry, IN",44801
18125,"Pike, IN",48731
18127,"Porter, IN",63336
18129,"Posey, IN",59121
18131,"Pulaski, IN",55856
18133,"Putnam, IN",46799
18135,"Randolph, IN",52792
18137,"Ripley, IN",50979
18139,"Rush, IN",55546
18141,"St. Joseph, IN",56225
18143,"Scott, IN",45134
18145,"Shelby, IN",53319
18147,"Spencer, IN",54327
18149,"Starke, IN",42278
18151,"Steuben, IN",54795
18153,"Sullivan, IN",43878
18155,"Switzerland, IN",42498
18157,"Tippecanoe, IN",47274
18159,"Tipton, IN",50366
18161,"Union, IN",49442
18163,"Vanderburgh, IN",56859
18165,"Vermillion, IN",46727
18167,"Vigo, IN",46535
18169,"Wabash, IN",53385
18171,"Warren, IN",54227
18173,"Warrick, IN",67827
18175,"Washington, IN",50214
18177,"Wayne, IN",49876
18179,"Wells, IN",51767
18181,"White, IN",53825
18183,"Whitley, IN",55600
19001,"Adair, IA",68112
19003,"Adams, IA",66659
19005,"Allamakee, IA",55950
19007,"Appanoose, IA",47222
19009,"Audubon, IA",71777
19011,"Benton, IA",69469
19013,"Black Hawk, IA",53193
19015,"Boone, IA",54937
19017,"Bremer, IA",59828
19019,"Buchanan, IA",61837
19021,"Buena Vista, IA",54742
19023,"Butler, IA",61479
19025,"Calhoun, IA",66030
19027,"Carroll, IA",67849
19029,"Cass, IA",60638
19031,"Cedar, IA",68023
19033,"Cerro Gordo, IA",75464
19035,"Cherokee, IA",94368
19037,"Chickasaw, IA",102316
19039,"Clarke, IA",49140
19041,"Clay, IA",62562
19043,"Clayton, IA",65960
19045,"Clinton, IA",52408
19047,"Crawford, IA",56912
19049,"Dallas, IA",79169
19051,"Davis, IA",56036
19053,"Decatur, IA",44688
19055,"Delaware, IA",62738
19057,"Des Moines, IA",57372
19059,"Dickinson, IA",76570
19061,"Dubuque, IA",60852
19063,"Emmet, IA",54756
19065,"Fayette, IA",53643
19067,"Floyd, IA",61556
19069,"Franklin, IA",67751
19071,"Fremont, IA",60652
19073,"Greene, IA",62195
19075,"Grundy, IA",65882
19077,"Guthrie, IA",69253
19079,"Hamilton, IA",66952
19081,"Hancock, IA",68906
19083,"Hardin, IA",76866
19085,"Harrison, IA",60000
19087,"Henry, IA",50984
19089,"Howard, IA",65758
19091,"Humboldt, IA",60809
19093,"Ida, IA",74444
19095,"Iowa, IA",61564
19097,"Jackson, IA",56123
19099,"Jasper, IA",51251
19101,"Jefferson, IA",56929
19103,"Johnson, IA",60853
